Id,Designator,Package,Quantity,Designation,,,,,,,,Danh sách SP,,,,
70,"C13,C16",C_Rect_L7_W2.5_P5,2,103,,,,,,,,Tên Sản Phẩm,Thuộc tính,Giá bán,Số lượng mua,Số tiền
42,R35,Resistor_Horizontal_RM20mm,1,0.1R-2W,,,,,,,,Trở Vạch 1/4W 5% 3.9K (50c) ,,2000 VNĐ,1,2000 VNĐ
57,R12,Resistor_Horizontal_RM15mm,1,0.33R-1W,,,,,,,,Trở 5% 2W 47K ,,1000 VNĐ,10,10000 VNĐ
20,L1,trafo-siemens-RM8-12A,1,1.253 mH,,,,,,,,2N3906 TO92 TRANS PNP 0.2A 40V (DIP) ,,300 VNĐ,4,1200 VNĐ
2,C1,RV_Disc_D12_W4_P7.5,1,100 nF,,,,,,,,Tụ gốm 470p 471 50V( 10C) ,,1000 VNĐ,1,1000 VNĐ
3,"C4,C8,C19",C_Rect_L7_W2.5_P5,3,100nF-50V,,,,,,,,Trở Vạch 1/4W 5% 27K (50c) ,,2000 VNĐ,1,2000 VNĐ
45,R39,R_0805_HandSoldering,1,100R,,,,,,,,Trở Vạch 1/4W 5% 20K (50c) ,,2000 VNĐ,1,2000 VNĐ
41,R34,Resistor_Horizontal_RM10mm,1,100R-1W,,,,,,,,S8050 SOT23 Trans NPN 0.5A 40V (SMD-J3Y) ,,300 VNĐ,5,1500 VNĐ
66,C17,C_Radial_D6.3_L11.2_P2.5,1,100uF35V,,,,,,,,Tụ 0805 102-1nF 10% 50V ( 10c) ,,2000 VNĐ,1,2000 VNĐ
6,"C10,C11",C_Disc_D12_P7.75,2,103 2kv,,,,,,,,Trở 0805 5% 3.3K (50c) ,,2000 VNĐ,1,2000 VNĐ
28,"R2,R4,R28,R29",R_0805_HandSoldering,4,10k,,,,,,,,Trở 5% 2W 56R ,,1000 VNĐ,10,10000 VNĐ
32,"R10,R33",R_0805_HandSoldering,2,10R,,,,,,,,Trở 5% 1W 150K ,,250 VNĐ,10,2500 VNĐ
49,RV1,RV_Disc_D12_W3.9_P7.5,1,14D471K,,,,,,,,Trở Vạch 1/4W 5% 15K (50c) ,,2000 VNĐ,1,2000 VNĐ
30,R6,Resistor_Horizontal_RM15mm,1,150K1W,,,,,,,,Tụ Gốm 103 10nF 50V ( 10C) ,,1000 VNĐ,1,1000 VNĐ
29,R5,R_0805_HandSoldering,1,15k,,,,,,,,Tụ Cao Áp 103 3KV ,,1000 VNĐ,5,5000 VNĐ
48,"R43,R38",Resistor_Horizontal_RM7mm,2,15k,,,,,,,,Diode 1N5819 1A 40V (Schottky) ,,750 VNĐ,4,3000 VNĐ
35,R15,Resistor_Horizontal_RM15mm,1,15k-1W,,,,,,,,Trở 5% 2W 0.1R ,,1000 VNĐ,5,5000 VNĐ
51,T1,inductors-MFE,1,180uH,,,,,,,,Tụ Hóa 100uF 35V ,,500 VNĐ,10,5000 VNĐ
33,"R11,R14",R_0805_HandSoldering,2,1k,,,,,,,,Varistor 7D471K 470V ,,1000 VNĐ,5,5000 VNĐ
34,"R13,R30,R31,R32,R26,R7,R25",Resistor_Horizontal_RM7mm,7,1k,,,,,,,,Trở 0805 5% 100R (50c) ,,2000 VNĐ,1,2000 VNĐ
76,R22,Resistor_Horizontal_RM7mm,1,1k-1%,,,,,,,,Trở 5% 1W 100R ,,250 VNĐ,10,2500 VNĐ
12,"D9,D10",Diode_DO-41_SOD81_Horizontal_RM10,2,1N4148,,,,,,,,Tụ Hóa 0.47uF 50V 5x11MM ,,300 VNĐ,3,900 VNĐ
75,D18,Diode_DO-41_SOD81_Vertical_AnodeUp,1,1N4148,,,,,,,,TL431 TO92 ,,1500 VNĐ,5,7500 VNĐ
8,"D1,D5,D7,D8",Diode_DO-201AD_Horizontal_RM15,4,1N5408,,,,,,,,MUR860 U860 TO220 DIODE 8A 600V ,,15000 VNĐ,2,30000 VNĐ
10,D3,Diode_DO-41_SOD81_Horizontal_RM10,1,1N5819,,,,,,,,TIP122 TO220 TRANS DarLingTon NPN 5A 100V ,,3000 VNĐ,2,6000 VNĐ
61,C3,C_0805_HandSoldering,1,1nF,,,,,,,,Diode FR207 2A 1000V ( DIP) ,,500 VNĐ,5,2500 VNĐ
