"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P4";"MountingHole_2.2mm_M2_DIN965_Pad";1;"OUT-";;;
2;"C1";"RV_Disc_D12_W4_P7.5";1;"100 nF";;;
3;"C4,C8,C19";"C_Rect_L7_W2.5_P5";3;"100nF-50V";;;
4;"C5";"C_Radial_D18_L36_P7.5";1;"68uF400V";;;
5;"C9";"C_Radial_D6.3_L11.2_P2.5";1;"47uF50V";;;
6;"C10,C11";"C_Disc_D12_P7.75";2;"103 2kv";;;
7;"C14";"C_0805_HandSoldering";1;"22pF25V";;;
8;"D1,D5,D7,D8";"Diode_DO-201AD_Horizontal_RM15";4;"1N5408";;;
9;"D2,D13";"Diode_DO-41_SOD81_Horizontal_RM10";2;"FR207";;;
10;"D3";"Diode_DO-41_SOD81_Horizontal_RM10";1;"1N5819";;;
11;"D4,D15";"TO-92_Inline_Wide";2;"TL431LP";;;
12;"D9,D10";"Diode_DO-41_SOD81_Horizontal_RM10";2;"1N4148";;;
13;"D11";"LED-5MM";1;"charging";;;
14;"D12";"LED-5MM";1;"power";;;
15;"D14";"Diode_DO-35_SOD27_Horizontal_RM10";1;"D_Z 12V";;;
16;"D16";"Diode_DO-35_SOD27_Horizontal_RM10";1;"DIAC-DB3";;;
17;"D17";"Diode_TO-220_Dual_CommonCathode_Vertical";1;"BT151";;;
18;"F1";"Fuseholder5x20_horiz_open_inline_Type-I";1;"Fuse-2A";;;
19;"HS1,HS2";"heatsink-D03PA";2;"Heatsink";;;
20;"L1";"trafo-siemens-RM8-12A";1;"1.253 mH";;;
21;"P1";"MountingHole_2.2mm_M2_DIN965_Pad";1;"IN1";;;
22;"P2";"MountingHole_2.2mm_M2_DIN965_Pad";1;"IN2";;;
23;"P3";"Molex_KK-6410-02_02x2.54mm_Straight";1;"FAN";;;
24;"P5";"MountingHole_2.2mm_M2_DIN965_Pad";1;"OUT+";;;
25;"Q2";"TO-220_Neutral123_Vertical_LargePads";1;"20N60";;;
26;"Q3";"TO-220_Neutral123_Vertical";1;"TIP122";;;
27;"Q4";"TO-92_Inline_Wide";1;"2N3906";;;
28;"R2,R4,R20,R28,R29";"R_0805_HandSoldering";5;"10k";;;
29;"R5";"R_0805_HandSoldering";1;"15k";;;
30;"R6";"Resistor_Horizontal_RM15mm";1;"150K1W";;;
31;"R9";"Resistor_Horizontal_RM7mm";1;"33R2";;;
32;"R10,R33";"R_0805_HandSoldering";2;"10R";;;
33;"R11,R14";"R_0805_HandSoldering";2;"1k";;;
34;"R13,R30,R31,R32,R26,R7,R25";"Resistor_Horizontal_RM7mm";7;"1k";;;
35;"R15";"Resistor_Horizontal_RM15mm";1;"15k-1W";;;
36;"R16";"R_0805_HandSoldering";1;"4.7k-1%";;;
37;"R17";"R_0805_HandSoldering";1;"33k";;;
38;"R18,R19";"Resistor_Horizontal_RM7mm";2;"27k";;;
39;"R21,R40";"R_0805_HandSoldering";2;"3k";;;
40;"R34";"Resistor_Horizontal_RM10mm";1;"100R-1W";;;
41;"R35";"Resistor_Horizontal_RM20mm";1;"0.1R-2W";;;
42;"R36,R41";"R_0805_HandSoldering";2;"20k";;;
43;"R37";"Resistor_Horizontal_RM7mm";1;"3k";;;
44;"R39";"R_0805_HandSoldering";1;"100R";;;
45;"R42";"Resistor_Horizontal_RM7mm";1;"20k";;;
46;"R43,R38";"Resistor_Horizontal_RM7mm";2;"15k";;;
47;"RV1";"RV_Disc_D12_W3.9_P7.5";1;"14D471K";;;
48;"RV2";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";1;"RV-2k";;;
49;"T1";"inductors-MFE";1;"180uH";;;
50;"TH1";"R3";1;"5D-11";;;
51;"TH2";"R3";1;"5D-13";;;
52;"U1";"DIP-8_W7.62mm_LongPads";1;"UC3842";;;
53;"U2";"DIP-4_W7.62mm";1;"PC817";;;
54;"U3";"DIP-8_W7.62mm_LongPads";1;"LM358";;;
55;"R12";"Resistor_Horizontal_RM15mm";1;"0.33R-1W";;;
56;"R8";"Resistor_Horizontal_RM15mm";1;"47k-2W";;;
57;"R1";"R_0805_HandSoldering";1;"8.2k";;;
58;"C2";"C_Rect_L7_W2.5_P5";1;"4.7nF";;;
59;"C3";"C_0805_HandSoldering";1;"1nF";;;
60;"D6";"Diode_TO-220_Vertical";1;"MUR860";;;
61;"R3";"Resistor_Horizontal_RM15mm";1;"56R-2W";;;
62;"C6";"C_Rect_L7_W2.5_P5";1;"471 2kv";;;
63;"C12";"C_Radial_D10_L21_P5";1;"330uF100V";;;
64;"C17";"C_Radial_D6.3_L11.2_P2.5";1;"100uF35V";;;
65;"C18";"C_Radial_D6.3_L11.2_P2.5";1;"220uF16V";;;
66;"C7";"C_Rect_L7_W2.5_P5";1;"470pF50V";;;
67;"F2";"Fuseholder5x20_horiz_open_inline_Type-I";1;"Fuse-5A";;;
68;"C13,C16";"C_Rect_L7_W2.5_P5";2;"103";;;
69;"C15";"C_Rect_L7_W2.5_P5";1;"1nF-50V";;;
70;"R23,R24";"Resistor_Horizontal_RM7mm";2;"56k-1%";;;
71;"Q1";"SOT-23";1;"tran-S8050";;;
72;"D18";"Diode_DO-41_SOD81_Vertical_AnodeUp";1;"1N4148";;;
73;"R22";"Resistor_Horizontal_RM7mm";1;"1k-1%";;;
